20251002T153000+0000	9900	Powrót Osaka			cor3cp1g6ph66b9k75im4b9k6krj4bb2ccomab9mccrjecph64s6aphp60@google.com	20250622T182855+0000	20250622T182855+0000	
20251004T060000+0000	14400	Inauguracja UMG			6hh34c1nchj64b9n70q3ib9k6opjeb9p6dj6abb26sp36e1m6oo3icj160@google.com	20250622T182912+0000	20250622T182912+0000	
20251116T140000+0000	18000	Wieczory: L.Vierne Messe Solennelle			6lh3id3470r38bb371i34b9k75i3ibb16kqj6b9hcks3ge9j6kp38d9ic8@google.com	20250715T112012+0000	20250715T112012+0000	
20251122T170000+0000	3600	Missa sollenele Oliwa			cdi66p9pchgjab9ocgp64b9kccpjeb9pc8o3ib9g6gs3ce9o71gmcoj164@google.com	20250715T112150+0000	20250715T112150+0000	
20250822T170000+0000	7200	Próba dla panow			cks3iopoc4smcb9ocopmcb9k6gp3gbb169gjib9g6cp62cb664oj0pj2cg@google.com	20250817T202411+0000	20250817T202411+0000	TB
20250820T170000+0000	7200	Próba dla pań			c5gm4cpm6hi6abb3cosjab9kcdgj2bb26srmcbb3ccs6cor66cq30p9pc4@google.com	20250622T181454+0000	20250820T152456+0000	SA
20250913T160000+0000	9000	Próba tutti			71i3co9k6cr6abb56pim6b9kc4s3ibb161im6b9m70s30p9o6pgj0dj168@google.com	20250622T182552+0000	20250822T192250+0000	t
20250830T083000+0000	9000	Próba tutti - godzina do ustalenia			61j66c33chi6cb9j6os32b9k6dh6cb9o74p62b9gcdhm6e1k60sjed366g@google.com	20250622T181746+0000	20250828T050300+0000	t
20250920T163000+0000	3600	Koncert przed Osaką			6kp62db5ckrjab9p68oj8b9k74q3gb9pc8qj0b9i61hj4dph75gj0chpc4@google.com	20250821T032637+0000	20250830T050257+0000	
20250918T163000+0000	9000	"Próba i kurs śpiewania białym głosem"""			65hj6e1o6dij0b9m64pj0b9k6himcb9o6hhmcb9ichimcp9icoo32ohhc8@google.com	20250622T182637+0000	20250910T115322+0000	
20250913T070000+0000	8100	Zebranie zarzadu			6hhjip9kcgp34b9h6sqj8b9kc4r3ab9p6oom8bb6cgo68or1cooj4ob668@google.com	20250911T194655+0000	20250911T194655+0000	Z
20250915T170000+0000	9000	Próba tutti, panie tylko do 20.45			6gq66dhhcor3ab9g61i62b9kckp38bb1c4s34bb175gjiohk6di3gc326o@google.com	20250622T182610+0000	20250913T192531+0000	tSA
20250917T170000+0000	9000	Próba tutti, panowie zostają do 20.45			c5hjae9l6osjeb9g65i62b9k6lhjebb1c4q34b9i6cq36p32ckq68ohlcg@google.com	20250622T182622+0000	20250915T130612+0000	tTB
20250920T144500+0000	3600	Rozspiewanie			68pjao9gclimcb9o6grj2b9k6csmcb9p71i3ebb16cpjgoj26ss3acj6c4@google.com	20250916T203050+0000	20250916T203050+0000	
20250921T161500+0000	9000	Próba tutti			74pmcchi74sjabb36hi32b9k74qmab9p68rjeb9oc4qj2dhic9i62dhm64@google.com	20250622T182712+0000	20250921T094405+0000	t
20251207T180000+0000	3600	Koncert w Olsztynie z POMF			chhjcdj574rj8b9gchgjgb9k6kpmcb9pc8rjab9occsm4dpi6goj4d9o74@google.com	20250925T212552+0000	20250925T212552+0000	
20251208T073000+0000	3600	?Swieto szkoly?			6opj6e1mccojebb6chj66b9kc5j6abb171h36b9ocgs64e9j6ti66p9h70@google.com	20250925T212722+0000	20250925T212738+0000	
20251001T010000+0000	3600	Próba w National Hall, później szybkie rozśpiewanie i do Pawilonu Polski			65i38opj68sj4b9h6hij0b9k75i3ebb2c8q3cbb4c4q3gc1h6pj6aohjc4@google.com	20250930T032543+0000	20250930T032543+0000	
20251001T020000+0000	3600	Hymny pod Pawilonem Polski			64q6ac9k70sjcb9mcpj3cb9k6ko3ib9pc5j68b9kckp62c1hcosmccpnc8@google.com	20250930T032600+0000	20250930T032600+0000	
20251001T050000+0000	4500	Parada (Pragną Ocki)			6pijcoj368om4bb6ckojab9k6tgm4bb26osmab9lchhjeor4cgp6aohnc8@google.com	20250930T032632+0000	20250930T032632+0000	
20251001T063000+0000	5400	Ceremonia i koncert (Już nie zapomnisz mnie, Vabank?, Wataha)			cosj2dhmckpmabb664qj0b9k6hi68b9o6go62b9oclijgohh6sp3ep9jc8@google.com	20250930T032753+0000	20250930T032753+0000	
20251001T030000+0000	3600	Próba z Tolhajami w National Hall			c9h64d1o6sqj2b9g6ss3eb9k60o62bb1c4p3eb9p6kqj2chlcgoj8d9j60@google.com	20250930T032819+0000	20250930T032819+0000	
20251001T003000+0000	1800	Rozspiewanie			71gj8p9g6kojgb9pc5h66b9kcopjgb9o74oj4b9n60sj6c1h6cp66cpp6c@google.com	20250930T033754+0000	20250930T033754+0000	
20251011T080000+0000	6300	Inauguracja WSB			6cr62c1i6gsj8bb26pij2b9kccs68b9ocor3ibb675gj8chp68q30pb46k@google.com	20250522T102225+0000	20251004T114706+0000	
20251009T170000+0000	7200	Próba tutti			cli30cb1coqjeb9nc8qm2b9kcosm2b9p6cq68b9n6hi64eb164o38d346s@google.com	20251004T135157+0000	20251004T135157+0000	t
20251013T170000+0000	8100	Próba tutti			6ph66o9p6hh66b9o69imab9k68q3cbb175hj6bb5c9h34e1ic9h66c9n6c@google.com	20251004T135224+0000	20251004T135225+0000	t
20251016T170000+0000	8100	Próba tutti			6ko3ae1p75h34b9iccs64b9k61hjcbb2c8qjib9icgqj4dpi68p30e9occ@google.com	20251004T135235+0000	20251004T135235+0000	t
20251020T170000+0000	8100	Próba tutti			6orj4c1n6lhj0bb175ij4b9kckpj4bb1coq3cb9i6lij0e9g68s3cp9ocg@google.com	20251009T074319+0000	20251009T074319+0000	t
20251026T173000+0000	6300	Koncert OSAKA na BIS			6sqm2d9p6tijgbb369ijib9k6ss3abb160omab9g6cpjeopk68pm8ohick@google.com	20251009T074345+0000	20251009T074345+0000	
20251026T150000+0000	3600	Próba sytuacyjna			61gm2cj475hm4bb471hjib9kcksmabb1chijeb9hc8r3coj364s62cb6c8@google.com	20251009T074403+0000	20251009T074403+0000	
20251023T170000+0000	8100	Próba tutti			ccr36d9gckrm4bb26cr32b9kchij6b9o6ooj2bb669i6adpl6lgm8dr4cc@google.com	20251009T074416+0000	20251009T074416+0000	t
20251117T110000+0000	3600	?Śpiewanie Z okazji rozpoczęcia obchodów 100- lecia Miasta Gdyni (Teatr Muzyczny, scena Nova)?			6opjid1g60rm2b9jc9i3ib9kc5j6cbb1c4r3ib9lckqjid31ccp32pj3c8@google.com	20251009T074551+0000	20251009T074551+0000	
20251027T180000+0000	6300	Próba panowie			75j3ipj4cpgjgbb1ckq34b9kccr38b9pc9ijebb6ccsj8cpj6gq3iphico@google.com	20251009T074628+0000	20251009T074628+0000	TB
20251030T180000+0000	6300	Próba panie			6dj3cc3270r32bb26com4b9k75hjgb9p61j68b9i6coj8oj3cgs38ohl6c@google.com	20251009T074638+0000	20251009T074638+0000	SA
20251106T180000+0000	8100	Próba tutti			64rj4pj2cko6ab9gcdj3gb9kc4pm4b9o71h34b9j64s38phhc4ojcc9o68@google.com	20251009T074701+0000	20251009T074701+0000	t
20251110T180000+0000	8100	Próba tutti			69h3eoj26cp62b9j70o3ib9kc8r3eb9p64p62b9j75gjic9j6or66pb66s@google.com	20251009T074723+0000	20251009T074723+0000	t
20251113T180000+0000	8100	Próba tutti			clj6ac9p64rjgb9gccsj0b9kcopmcbb26oo66b9pc5gj6pj4ccp6ap316o@google.com	20251009T074738+0000	20251009T074738+0000	t
20251115T180000+0000	6300	Próba z akompaniatorem			60sj6c9j68s32b9jc8pm6b9k60smcb9o65hj8bb26dh62pj5c4o38cr470@google.com	20251009T074753+0000	20251009T074753+0000	
20251120T180000+0000	8100	Próba tutti			6timapj6chj6abb6chj32b9k6pgj8bb165j6ab9lc4qm2or3climce3668@google.com	20251009T074922+0000	20251009T074922+0000	t
20251020T161500+0000	2700	Nabór			6lgj4cpi69im6bb26sr30b9k6soj8bb274sm4b9ncop3ccb5cphj0chj6s@google.com	20251011T122415+0000	20251011T122415+0000	
20251027T171500+0000	6300	Nabór			c9i30phl70sjibb1c4rm6b9kc4s38b9p65hm6b9p75imao9jcopj4p9o6c@google.com	20251011T122455+0000	20251011T122513+0000	
20251106T170000+0000	6300	Nabór			70rm6opk74q62b9o64smcb9k70o30b9p6ksjeb9i6gq6cc9o69hjicb6c4@google.com	20251011T122542+0000	20251011T122542+0000	
20251023T161500+0000	2700	Nabór			71i34ohl6gp3gb9m6cpm4b9k68rm2b9ocoojebb674rjcp1h60o38dr26s@google.com	20251011T122642+0000	20251011T122642+0000	
